game_id,filename,bytes,n_frames,gameId_field
895609362,battle_895609362.json,135716,297,895609362
895609363,battle_895609363.json,117167,257,895609363
895609378,battle_895609378.json,164722,359,895609378
895609379,battle_895609379.json,186343,407,895609379
895609475,battle_895609475.json,139575,305,895609475
895609476,battle_895609476.json,113019,247,895609476
895609488,battle_895609488.json,145781,305,895609488
895609489,battle_895609489.json,164749,347,895609489
895609617,battle_895609617.json,300492,651,895609617
895609618,battle_895609618.json,267019,581,895609618
895609648,battle_895609648.json,381042,733,895609648
895609649,battle_895609649.json,317297,609,895609649
895609669,battle_895609669.json,302030,657,895609669
895609670,battle_895609670.json,259448,571,895609670
895609692,battle_895609692.json,201046,441,895609692
895609693,battle_895609693.json,231312,503,895609693
895609738,battle_895609738.json,169488,365,895609738
895609739,battle_895609739.json,104333,227,895609739
895609789,battle_895609789.json,308331,677,895609789
895609790,battle_895609790.json,363464,797,895609790
895609847,battle_895609847.json,199399,437,895609847
895609848,battle_895609848.json,227875,497,895609848
895609900,battle_895609900.json,385426,827,895609900
895609901,battle_895609901.json,425246,915,895609901
895610005,battle_895610005.json,196071,431,895610005
895610006,battle_895610006.json,167397,365,895610006
895610031,battle_895610031.json,330764,725,895610031
895610032,battle_895610032.json,248117,547,895610032
895610072,battle_895610072.json,283487,623,895610072
895610073,battle_895610073.json,314188,689,895610073
895610097,battle_895610097.json,208132,455,895610097
895610098,battle_895610098.json,144308,313,895610098
895610113,battle_895610113.json,217753,455,895610113
895610114,battle_895610114.json,214264,447,895610114
895610137,battle_895610137.json,184399,405,895610137
895610138,battle_895610138.json,239331,527,895610138
895610161,battle_895610161.json,309439,637,895610161
895610162,battle_895610162.json,261327,541,895610162
895610200,battle_895610200.json,368117,801,895610200
895610201,battle_895610201.json,343495,745,895610201
895610238,battle_895610238.json,247173,531,895610238
895610239,battle_895610239.json,240279,519,895610239
895610255,battle_895610255.json,216034,469,895610255
895610256,battle_895610256.json,272475,593,895610256
895610347,battle_895610347.json,296096,647,895610347
895610348,battle_895610348.json,300302,657,895610348
